x,theta
0.313630,-0.976342
0.314118,-0.976546
0.314607,-0.976750
0.315095,-0.976955
0.315584,-0.977159
0.316072,-0.977363
0.316561,-0.977567
0.317049,-0.977801
0.317538,-0.978043
0.318026,-0.978285
0.318515,-0.978527
0.319003,-0.978769
0.319492,-0.979011
0.319980,-0.979253
0.320469,-0.979495
0.320957,-0.979737
0.321446,-0.979979
0.321935,-0.980220
0.322423,-0.980462
0.322912,-0.980704
0.323400,-0.980946
0.323889,-0.981188
0.324377,-0.981430
0.324866,-0.981672
0.325354,-0.981914
0.325843,-0.982156
0.326331,-0.982398
0.326820,-0.982640
0.327308,-0.982882
0.327797,-0.983124
0.328285,-0.983366
0.328774,-0.983608
0.329262,-0.983850
0.329751,-0.984092
0.330239,-0.984334
0.330728,-0.984576
0.331216,-0.984818
0.331705,-0.985060
0.332193,-0.985302
0.332682,-0.985544
0.333170,-0.985786
0.333659,-0.985992
0.334148,-0.986169
0.334636,-0.986347
0.335125,-0.986525
0.335613,-0.986703
0.336102,-0.986880
0.336590,-0.987058
0.337079,-0.987236
0.337567,-0.987414
0.338056,-0.987591
0.338544,-0.987769
0.339033,-0.987947
0.339521,-0.988125
0.340010,-0.988303
0.340498,-0.988480
0.340987,-0.988658
0.341475,-0.988836
0.341964,-0.988787
0.342452,-0.988582
0.342941,-0.988377
0.343429,-0.988171
0.343918,-0.987966
0.344406,-0.987761
0.344895,-0.987556
0.345383,-0.987350
0.345872,-0.987054
0.346361,-0.985698
0.346849,-0.984341
0.347338,-0.982985
0.347826,-0.981629
0.348315,-0.980273
0.348803,-0.978916
0.349292,-0.977560
0.349780,-0.976204
0.350269,-0.972853
0.350757,-0.967869
0.351246,-0.962885
0.351734,-0.957902
0.352223,-0.952918
0.352711,-0.947934
0.353200,-0.942951
0.353688,-0.937967
0.354177,-0.932871
0.354665,-0.921420
0.355154,-0.909969
0.355642,-0.898519
0.356131,-0.887068
0.356619,-0.869608
0.357108,-0.850212
0.357596,-0.830817
0.358085,-0.811421
0.358574,-0.786277
0.359062,-0.755192
0.359551,-0.724107
0.360039,-0.693022
0.360528,-0.658574
0.361016,-0.612682
0.361505,-0.566789
0.361993,-0.520896
0.362482,-0.475004
0.362970,-0.415243
0.363459,-0.354942
0.363947,-0.294640
0.364436,-0.234339
0.364924,-0.168504
0.365413,-0.100273
0.365901,-0.032043
0.366390,0.036188
0.366878,0.103157
0.367367,0.168476
0.367855,0.233795
0.368344,0.299114
0.368832,0.362400
0.369321,0.415669
0.369809,0.468938
0.370298,0.522207
0.370787,0.575476
0.371275,0.614981
0.371764,0.653027
0.372252,0.691072
0.372741,0.729118
0.373229,0.758612
0.373718,0.783286
0.374206,0.807961
0.374695,0.832635
0.375183,0.853690
0.375672,0.868713
0.376160,0.883736
0.376649,0.898759
0.377137,0.913096
0.377626,0.921904
0.378114,0.930712
0.378603,0.939520
0.379091,0.948328
0.379580,0.953963
0.380068,0.959019
0.380557,0.964076
0.381045,0.969132
0.381534,0.972918
0.382022,0.975790
0.382511,0.978662
0.383000,0.981533
0.383488,0.983903
0.383977,0.985150
0.384465,0.986397
0.384954,0.987645
0.385442,0.988892
0.385931,0.990139
0.386419,0.991387
0.386908,0.992634
0.387396,0.993881
0.387885,0.994399
0.388373,0.994720
0.388862,0.995042
0.389350,0.995363
0.389839,0.995684
0.390327,0.996005
0.390816,0.996327
0.391304,0.996648
0.391793,0.996863
0.392281,0.996776
0.392770,0.996689
0.393258,0.996602
0.393747,0.996515
0.394235,0.996428
0.394724,0.996340
0.395213,0.996253
0.395701,0.996166
0.396190,0.995796
0.396678,0.995321
0.397167,0.994846
0.397655,0.994371
0.398144,0.993896
0.398632,0.993421
0.399121,0.992946
0.399609,0.992471
0.400098,0.991836
0.400586,0.990562
0.401075,0.989288
0.401563,0.988015
0.402052,0.986741
0.402540,0.985467
0.403029,0.984193
0.403517,0.982919
0.404006,0.981645
0.404494,0.979025
0.404983,0.975745
0.405471,0.972465
0.405960,0.969184
0.406448,0.965904
0.406937,0.962624
0.407426,0.959343
0.407914,0.956063
0.408403,0.953192
0.408891,0.946812
0.409380,0.940431
0.409868,0.934051
0.410357,0.927671
0.410845,0.918053
0.411334,0.907982
0.411822,0.897911
0.412311,0.887839
0.412799,0.874386
0.413288,0.858794
0.413776,0.843202
0.414265,0.827610
0.414753,0.809315
0.415242,0.785956
0.415730,0.762598
0.416219,0.739239
0.416707,0.715053
0.417196,0.681771
0.417684,0.648489
0.418173,0.615207
0.418661,0.581926
0.419150,0.539732
0.419638,0.495565
0.420127,0.451398
0.420616,0.407231
0.421104,0.357955
0.421593,0.304568
0.422081,0.251181
0.422570,0.197794
0.423058,0.143157
0.423547,0.085453
0.424035,0.027749
0.424524,-0.029956
0.425012,-0.087599
0.425501,-0.142882
0.425989,-0.198165
0.426478,-0.253448
0.426966,-0.308730
0.427455,-0.357844
0.427943,-0.405013
0.428432,-0.452183
0.428920,-0.499353
0.429409,-0.541200
0.429897,-0.577637
0.430386,-0.614073
0.430874,-0.650509
0.431363,-0.684541
0.431851,-0.710576
0.432340,-0.736611
0.432829,-0.762646
0.433317,-0.788681
0.433806,-0.806535
0.434294,-0.824106
0.434783,-0.841677
0.435271,-0.859249
0.435760,-0.872482
0.436248,-0.883873
0.436737,-0.895265
0.437225,-0.906657
0.437714,-0.916205
0.438202,-0.923383
0.438691,-0.930560
0.439179,-0.937738
0.439668,-0.944439
0.440156,-0.948863
0.440645,-0.953286
0.441133,-0.957709
0.441622,-0.962132
0.442110,-0.963694
0.442599,-0.965877
0.443087,-0.968061
