x,theta
0.567171,-0.982549
0.567660,-0.982546
0.568149,-0.982543
0.568637,-0.982540
0.569126,-0.982537
0.569614,-0.982534
0.570103,-0.982530
0.570591,-0.982527
0.571080,-0.982259
0.571568,-0.981730
0.572057,-0.981202
0.572545,-0.980673
0.573034,-0.980144
0.573522,-0.979615
0.574011,-0.979086
0.574499,-0.978558
0.574988,-0.978029
0.575476,-0.976117
0.575965,-0.974171
0.576453,-0.972224
0.576942,-0.970277
0.577430,-0.968330
0.577919,-0.966383
0.578407,-0.964436
0.578896,-0.962489
0.579384,-0.959649
0.579873,-0.955412
0.580362,-0.951175
0.580850,-0.946938
0.581339,-0.942196
0.581827,-0.935169
0.582316,-0.928143
0.582804,-0.921116
0.583293,-0.914090
0.583781,-0.903108
0.584270,-0.891767
0.584758,-0.880426
0.585247,-0.869085
0.585735,-0.853572
0.586224,-0.835833
0.586712,-0.818094
0.587201,-0.800356
0.587689,-0.779190
0.588178,-0.752609
0.588666,-0.726028
0.589155,-0.699447
0.589643,-0.671524
0.590132,-0.634019
0.590620,-0.596515
0.591109,-0.559010
0.591597,-0.521506
0.592086,-0.474354
0.592574,-0.425610
0.593063,-0.376866
0.593552,-0.328122
0.594040,-0.274439
0.594529,-0.217376
0.595017,-0.160312
0.595506,-0.103249
0.595994,-0.045494
0.596483,0.013673
0.596971,0.072839
0.597460,0.132005
0.597948,0.190842
0.598437,0.244905
0.598925,0.298968
0.599414,0.353031
0.599902,0.407094
0.600391,0.453064
0.600879,0.497010
0.601368,0.540957
0.601856,0.584903
0.602345,0.622664
0.602833,0.655059
0.603322,0.687454
0.603810,0.719848
0.604299,0.749466
0.604787,0.771607
0.605276,0.793747
0.605765,0.815887
0.606253,0.837978
0.606742,0.852244
0.607230,0.866509
0.607719,0.880774
0.608207,0.895040
0.608696,0.905158
0.609184,0.913832
0.609673,0.922506
0.610161,0.931179
0.610650,0.937986
0.611138,0.942745
0.611627,0.947505
0.612115,0.952265
0.612604,0.956400
0.613092,0.958219
0.613581,0.960039
0.614069,0.961858
0.614558,0.963677
0.615046,0.962983
0.615535,0.962151
0.616023,0.961318
0.616512,0.960486
0.617000,0.957561
0.617489,0.953666
0.617978,0.949771
0.618466,0.945876
0.618955,0.940186
0.619443,0.932002
0.619932,0.923819
0.620420,0.915635
0.620909,0.906450
0.621397,0.891770
0.621886,0.877089
0.622374,0.862408
0.622863,0.847728
0.623351,0.824417
0.623840,0.800036
0.624328,0.775655
0.624817,0.751274
0.625305,0.718611
0.625794,0.680979
0.626282,0.643347
