step,time,mass,ch_energy,kinetic_energy,total_energy,divergence_L2,c_min,c_max,u_max,cfl_number,amplitude,y_min,y_max,n_spikes,mu_min,mu_max,p_min,p_max,c_norm,mu_norm,ux_norm,uy_norm,p_norm,F_cap_max,F_mag_max,F_grav_max
300,1.500000000000e-01,-2.003999927482e-01,2.362289883363e+00,2.290591521238e-05,2.362312789278e+00,9.923772953013e-02,-1.000428821482e+00,1.001067452637e+00,7.107402745495e-02,7.801020895298e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
310,1.550000000000e-01,-2.003999927482e-01,2.362319729732e+00,2.366299308835e-05,2.362343392725e+00,1.060902355685e-01,-1.000430653002e+00,1.001043899030e+00,7.527625320357e-02,8.262253388315e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
320,1.600000000000e-01,-2.003999927482e-01,2.362347940680e+00,2.482209278578e-05,2.362372762773e+00,1.129032500037e-01,-1.000433158507e+00,1.001023222272e+00,8.100164012445e-02,8.890666672362e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
330,1.650000000000e-01,-2.003999927482e-01,2.362376199325e+00,2.642973981885e-05,2.362402629065e+00,1.198529293142e-01,-1.000436395020e+00,1.001004116124e+00,8.810214620764e-02,9.670011790482e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
340,1.700000000000e-01,-2.003999927482e-01,2.362406054675e+00,2.827494714280e-05,2.362434329623e+00,1.269102032790e-01,-1.000439620281e+00,1.000985340153e+00,9.495207784371e-02,1.042185408418e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
350,1.750000000000e-01,-2.003999927482e-01,2.362438115164e+00,3.016516309283e-05,2.362468280327e+00,1.342399157656e-01,-1.000442363674e+00,1.000965819202e+00,1.015466131399e-01,1.114566430689e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
360,1.800000000000e-01,-2.003999927482e-01,2.362471561560e+00,3.195702833242e-05,2.362503518588e+00,1.421020529079e-01,-1.000444333118e+00,1.000944818438e+00,1.089103693012e-01,1.195390351520e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
370,1.850000000000e-01,-2.003999927482e-01,2.362504542546e+00,3.359398734560e-05,2.362538136533e+00,1.501304307411e-01,-1.000445221763e+00,1.000922078357e+00,1.160795216668e-01,1.274078318712e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
380,1.900000000000e-01,-2.003999927482e-01,2.362535185999e+00,3.518379279076e-05,2.362570369792e+00,1.579895751966e-01,-1.000445648213e+00,1.000898053402e+00,1.221826566797e-01,1.341065775970e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
390,1.950000000000e-01,-2.003999927482e-01,2.362562177865e+00,3.687821147204e-05,2.362599056076e+00,1.662068630337e-01,-1.000448474995e+00,1.000877176341e+00,1.290169091733e-01,1.416077912491e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
