step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
121,6.100000e-02,9.433599e-01,2.348911e-05,6.148047e+00,9.433834e-01,7.091430e+00,8.266905e-03,2.023535e+02
122,6.150000e-02,9.433640e-01,2.345227e-05,6.250059e+00,9.433874e-01,7.193446e+00,8.051374e-03,2.040315e+02
123,6.200000e-02,9.433680e-01,2.350162e-05,6.352910e+00,9.433916e-01,7.296301e+00,8.278686e-03,2.057107e+02
124,6.250000e-02,9.433721e-01,2.348810e-05,6.456600e+00,9.433956e-01,7.399996e+00,8.114528e-03,2.073888e+02
125,6.300000e-02,9.433762e-01,2.344851e-05,6.561130e+00,9.433996e-01,7.504530e+00,8.021065e-03,2.090677e+02
126,6.350000e-02,9.433802e-01,2.342608e-05,6.666499e+00,9.434036e-01,7.609903e+00,8.051355e-03,2.107462e+02
127,6.400000e-02,9.433843e-01,2.348347e-05,6.772707e+00,9.434078e-01,7.716115e+00,8.255013e-03,2.124252e+02
128,6.450000e-02,9.433883e-01,2.347116e-05,6.879755e+00,9.434118e-01,7.823167e+00,8.080991e-03,2.141032e+02
129,6.500000e-02,9.433924e-01,2.344368e-05,6.987642e+00,9.434158e-01,7.931058e+00,8.009673e-03,2.157821e+02
130,6.550000e-02,9.433964e-01,2.351428e-05,7.096368e+00,9.434200e-01,8.039788e+00,8.276196e-03,2.174609e+02
131,6.600000e-02,9.434005e-01,2.350336e-05,7.205934e+00,9.434240e-01,8.149358e+00,8.081959e-03,2.191389e+02
132,6.650000e-02,9.434045e-01,2.346484e-05,7.316339e+00,9.434280e-01,8.259767e+00,7.990425e-03,2.208180e+02
133,6.700000e-02,9.434086e-01,2.353386e-05,7.427583e+00,9.434321e-01,8.371015e+00,8.228002e-03,2.224967e+02
134,6.750000e-02,9.434126e-01,2.350377e-05,7.539666e+00,9.434361e-01,8.483103e+00,8.005242e-03,2.241748e+02
