step,time,message
258,1.295000e-01,"theta bounds violated: [-1.000014, 1.003787]"
259,1.300000e-01,"theta bounds violated: [-1.000014, 1.003790]"
260,1.305000e-01,"theta bounds violated: [-1.000015, 1.003793]"
261,1.310000e-01,"theta bounds violated: [-1.000015, 1.003796]"
262,1.315000e-01,"theta bounds violated: [-1.000015, 1.003799]"
263,1.320000e-01,"theta bounds violated: [-1.000015, 1.003802]"
264,1.325000e-01,"theta bounds violated: [-1.000015, 1.003805]"
265,1.330000e-01,"theta bounds violated: [-1.000016, 1.003808]"
266,1.335000e-01,"theta bounds violated: [-1.000016, 1.003810]"
267,1.340000e-01,"theta bounds violated: [-1.000016, 1.003813]"
268,1.345000e-01,"theta bounds violated: [-1.000016, 1.003816]"
269,1.350000e-01,"theta bounds violated: [-1.000016, 1.003819]"
270,1.355000e-01,"theta bounds violated: [-1.000017, 1.003822]"
271,1.360000e-01,"theta bounds violated: [-1.000017, 1.003825]"
272,1.365000e-01,"theta bounds violated: [-1.000017, 1.003828]"
273,1.370000e-01,"theta bounds violated: [-1.000017, 1.003831]"
274,1.375000e-01,"theta bounds violated: [-1.000018, 1.003834]"
275,1.380000e-01,"theta bounds violated: [-1.000018, 1.003836]"
276,1.385000e-01,"theta bounds violated: [-1.000018, 1.003839]"
277,1.390000e-01,"theta bounds violated: [-1.000018, 1.003842]"
278,1.395000e-01,"theta bounds violated: [-1.000018, 1.003845]"
279,1.400000e-01,"theta bounds violated: [-1.000019, 1.003848]"
280,1.405000e-01,"theta bounds violated: [-1.000019, 1.003851]"
281,1.410000e-01,"theta bounds violated: [-1.000019, 1.003854]"
282,1.415000e-01,"theta bounds violated: [-1.000019, 1.003856]"
283,1.420000e-01,"theta bounds violated: [-1.000020, 1.003859]"
284,1.425000e-01,"theta bounds violated: [-1.000020, 1.003862]"
285,1.430000e-01,"theta bounds violated: [-1.000020, 1.003865]"
286,1.435000e-01,"theta bounds violated: [-1.000020, 1.003868]"
287,1.440000e-01,"theta bounds violated: [-1.000021, 1.003870]"
288,1.445000e-01,"theta bounds violated: [-1.000021, 1.003873]"
289,1.450000e-01,"theta bounds violated: [-1.000021, 1.003876]"
290,1.455000e-01,"theta bounds violated: [-1.000021, 1.003879]"
291,1.460000e-01,"theta bounds violated: [-1.000022, 1.003881]"
292,1.465000e-01,"theta bounds violated: [-1.000022, 1.003884]"
293,1.470000e-01,"theta bounds violated: [-1.000022, 1.003887]"
294,1.475000e-01,"theta bounds violated: [-1.000022, 1.003890]"
295,1.480000e-01,"theta bounds violated: [-1.000023, 1.003892]"
296,1.485000e-01,"theta bounds violated: [-1.000023, 1.003895]"
297,1.490000e-01,"theta bounds violated: [-1.000023, 1.003898]"
298,1.495000e-01,"theta bounds violated: [-1.000023, 1.003901]"
299,1.500000e-01,"theta bounds violated: [-1.000024, 1.003903]"
300,1.505000e-01,"theta bounds violated: [-1.000024, 1.003906]"
301,1.510000e-01,"theta bounds violated: [-1.000024, 1.003909]"
302,1.515000e-01,"theta bounds violated: [-1.000025, 1.003911]"
