step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
93,4.700000e-02,9.428642e-01,3.329270e-08,3.618134e+00,9.428643e-01,4.560998e+00,1.003662e-05,1.547349e+02
94,4.750000e-02,9.428642e-01,3.371866e-08,3.696337e+00,9.428643e-01,4.639201e+00,1.007449e-05,1.564072e+02
95,4.800000e-02,9.428642e-01,3.416018e-08,3.775377e+00,9.428643e-01,4.718241e+00,1.011303e-05,1.580795e+02
96,4.850000e-02,9.428642e-01,3.461761e-08,3.855253e+00,9.428643e-01,4.798117e+00,1.015224e-05,1.597517e+02
97,4.900000e-02,9.428642e-01,3.509130e-08,3.935965e+00,9.428643e-01,4.878829e+00,1.019228e-05,1.614240e+02
98,4.950000e-02,9.428642e-01,3.558161e-08,4.017513e+00,9.428643e-01,4.960377e+00,1.023292e-05,1.630963e+02
99,5.000000e-02,9.428642e-01,3.608891e-08,4.099897e+00,9.428643e-01,5.042762e+00,1.027430e-05,1.647686e+02
100,5.050000e-02,9.428643e-01,3.661355e-08,4.183118e+00,9.428643e-01,5.125982e+00,1.031647e-05,1.664409e+02
101,5.100000e-02,9.428643e-01,3.715592e-08,4.267174e+00,9.428643e-01,5.210039e+00,1.035939e-05,1.681132e+02
102,5.150000e-02,9.428643e-01,3.771638e-08,4.352067e+00,9.428643e-01,5.294931e+00,1.040312e-05,1.697855e+02
103,5.200000e-02,9.428643e-01,3.829530e-08,4.437796e+00,9.428643e-01,5.380660e+00,1.044755e-05,1.714578e+02
104,5.250000e-02,9.428643e-01,3.889308e-08,4.524361e+00,9.428643e-01,5.467225e+00,1.049280e-05,1.731301e+02
105,5.300000e-02,9.428643e-01,3.951009e-08,4.611762e+00,9.428643e-01,5.554626e+00,1.053885e-05,1.748024e+02
106,5.350000e-02,9.428643e-01,4.014672e-08,4.700000e+00,9.428643e-01,5.642864e+00,1.058561e-05,1.764747e+02
107,5.400000e-02,9.428643e-01,4.080337e-08,4.789073e+00,9.428643e-01,5.731937e+00,1.063331e-05,1.781469e+02
108,5.450000e-02,9.428643e-01,4.148041e-08,4.878983e+00,9.428643e-01,5.821847e+00,1.068178e-05,1.798192e+02
109,5.500000e-02,9.428643e-01,4.217826e-08,4.969728e+00,9.428643e-01,5.912593e+00,1.073098e-05,1.814915e+02
110,5.550000e-02,9.428643e-01,4.289731e-08,5.061310e+00,9.428643e-01,6.004175e+00,1.078116e-05,1.831638e+02
111,5.600000e-02,9.428643e-01,4.363796e-08,5.153728e+00,9.428643e-01,6.096593e+00,1.083206e-05,1.848361e+02
112,5.650000e-02,9.428643e-01,4.440063e-08,5.246982e+00,9.428644e-01,6.189847e+00,1.088397e-05,1.865084e+02
113,5.700000e-02,9.428643e-01,4.518572e-08,5.341073e+00,9.428644e-01,6.283937e+00,1.093655e-05,1.881807e+02
