step,time,ramp_factor,h_a_left,h_a_center,h_a_right,h_a_center_x,h_a_center_y,h_a_min,h_a_max,center_edge_ratio,uniformity
96,4.800000e-02,3.000000e-02,3.865662e+00,3.868285e+00,3.865662e+00,-9.956390e-18,3.868285e+00,3.864188e+00,3.868285e+00,1.000679e+00,9.989408e-01
97,4.850000e-02,3.031250e-02,3.905929e+00,3.908579e+00,3.905929e+00,-5.199452e-18,3.908579e+00,3.904440e+00,3.908579e+00,1.000679e+00,9.989408e-01
98,4.900000e-02,3.062500e-02,3.946196e+00,3.948874e+00,3.946196e+00,1.343527e-17,3.948874e+00,3.944692e+00,3.948874e+00,1.000679e+00,9.989408e-01
99,4.950000e-02,3.093750e-02,3.986464e+00,3.989169e+00,3.986464e+00,4.314422e-18,3.989169e+00,3.984943e+00,3.989169e+00,1.000679e+00,9.989408e-01
100,5.000000e-02,3.125000e-02,4.026731e+00,4.029463e+00,4.026731e+00,-4.806429e-18,4.029463e+00,4.025195e+00,4.029463e+00,1.000679e+00,9.989408e-01
101,5.050000e-02,3.156250e-02,4.066998e+00,4.069758e+00,4.066998e+00,-4.949216e-20,4.069758e+00,4.065447e+00,4.069758e+00,1.000679e+00,9.989408e-01
102,5.100000e-02,3.187500e-02,4.107265e+00,4.110053e+00,4.107265e+00,-1.133418e-17,4.110053e+00,4.105699e+00,4.110053e+00,1.000679e+00,9.989408e-01
103,5.150000e-02,3.218750e-02,4.147533e+00,4.150347e+00,4.147533e+00,-2.045503e-17,4.150347e+00,4.145951e+00,4.150347e+00,1.000679e+00,9.989408e-01
104,5.200000e-02,3.250000e-02,4.187800e+00,4.190642e+00,4.187800e+00,1.205748e-17,4.190642e+00,4.186203e+00,4.190642e+00,1.000679e+00,9.989408e-01
105,5.250000e-02,3.281250e-02,4.228067e+00,4.230936e+00,4.228067e+00,2.936631e-18,4.230936e+00,4.226455e+00,4.230936e+00,1.000679e+00,9.989408e-01
106,5.300000e-02,3.312500e-02,4.268335e+00,4.271231e+00,4.268335e+00,-6.184219e-18,4.271231e+00,4.266707e+00,4.271231e+00,1.000679e+00,9.989408e-01
107,5.350000e-02,3.343750e-02,4.308602e+00,4.311526e+00,4.308602e+00,-1.530507e-17,4.311526e+00,4.306959e+00,4.311526e+00,1.000679e+00,9.989408e-01
108,5.400000e-02,3.375000e-02,4.348869e+00,4.351820e+00,4.348869e+00,1.720744e-17,4.351820e+00,4.347211e+00,4.351820e+00,1.000679e+00,9.989408e-01
109,5.450000e-02,3.406250e-02,4.389137e+00,4.392115e+00,4.389137e+00,8.086592e-18,4.392115e+00,4.387463e+00,4.392115e+00,1.000679e+00,9.989408e-01
110,5.500000e-02,3.437500e-02,4.429404e+00,4.432410e+00,4.429404e+00,-1.034259e-18,4.432410e+00,4.427715e+00,4.432410e+00,1.000679e+00,9.989408e-01
111,5.550000e-02,3.468750e-02,4.469671e+00,4.472704e+00,4.469671e+00,-1.015511e-17,4.472704e+00,4.467967e+00,4.472704e+00,1.000679e+00,9.989408e-01
112,5.600000e-02,3.500000e-02,4.509939e+00,4.512999e+00,4.509939e+00,-5.398173e-18,4.512999e+00,4.508219e+00,4.512999e+00,1.000679e+00,9.989408e-01
113,5.650000e-02,3.531250e-02,4.550206e+00,4.553293e+00,4.550206e+00,1.323655e-17,4.553293e+00,4.548471e+00,4.553293e+00,1.000679e+00,9.989408e-01
114,5.700000e-02,3.562500e-02,4.590473e+00,4.593588e+00,4.590473e+00,4.115701e-18,4.593588e+00,4.588723e+00,4.593588e+00,1.000679e+00,9.989408e-01
115,5.750000e-02,3.593750e-02,4.630740e+00,4.633883e+00,4.630740e+00,-5.005149e-18,4.633883e+00,4.628975e+00,4.633883e+00,1.000679e+00,9.989408e-01
116,5.800000e-02,3.625000e-02,4.671008e+00,4.674177e+00,4.671008e+00,-1.412600e-17,4.674177e+00,4.669227e+00,4.674177e+00,1.000679e+00,9.989408e-01
117,5.850000e-02,3.656250e-02,4.711275e+00,4.714472e+00,4.711275e+00,1.838651e-17,4.714472e+00,4.709479e+00,4.714472e+00,1.000679e+00,9.989408e-01
118,5.900000e-02,3.687500e-02,4.751542e+00,4.754767e+00,4.751542e+00,9.265662e-18,4.754767e+00,4.749731e+00,4.754767e+00,1.000679e+00,9.989408e-01
119,5.950000e-02,3.718750e-02,4.791810e+00,4.795061e+00,4.791810e+00,-2.019026e-18,4.795061e+00,4.789983e+00,4.795061e+00,1.000679e+00,9.989408e-01
120,6.000000e-02,3.750000e-02,4.832077e+00,4.835356e+00,4.832077e+00,2.737911e-18,4.835356e+00,4.830235e+00,4.835356e+00,1.000679e+00,9.989408e-01
121,6.050000e-02,3.781250e-02,4.872344e+00,4.875651e+00,4.872344e+00,7.494848e-18,4.875651e+00,4.870486e+00,4.875651e+00,1.000679e+00,9.989408e-01
122,6.100000e-02,3.812500e-02,4.912612e+00,4.915945e+00,4.912612e+00,1.225179e-17,4.915945e+00,4.910738e+00,4.915945e+00,1.000679e+00,9.989408e-01
123,6.150000e-02,3.843750e-02,4.952879e+00,4.956240e+00,4.952879e+00,-1.074685e-17,4.956240e+00,4.950990e+00,4.956240e+00,1.000679e+00,9.989408e-01
124,6.200000e-02,3.875000e-02,4.993146e+00,4.996534e+00,4.993146e+00,-5.989916e-18,4.996534e+00,4.991242e+00,4.996534e+00,1.000679e+00,9.989408e-01
125,6.250000e-02,3.906250e-02,5.033414e+00,5.036829e+00,5.033414e+00,3.094694e-18,5.036829e+00,5.031494e+00,5.036829e+00,1.000679e+00,9.989408e-01
126,6.300000e-02,3.937500e-02,5.073681e+00,5.077124e+00,5.073681e+00,7.851631e-18,5.077124e+00,5.071746e+00,5.077124e+00,1.000679e+00,9.989408e-01
127,6.350000e-02,3.968750e-02,5.113948e+00,5.117418e+00,5.113948e+00,-3.433056e-18,5.117418e+00,5.111998e+00,5.117418e+00,1.000679e+00,9.989408e-01
128,6.400000e-02,4.000000e-02,5.154215e+00,5.157713e+00,5.154215e+00,1.323881e-18,5.157713e+00,5.152250e+00,5.157713e+00,1.000679e+00,9.989408e-01
129,6.450000e-02,4.031250e-02,5.194483e+00,5.198008e+00,5.194483e+00,6.080818e-18,5.198008e+00,5.192502e+00,5.198008e+00,1.000679e+00,9.989408e-01
